,game,comment,username,confidence
10,SIFU,"On va relever des notes qui transpirent la frustration et l’incompétence totale de finir un vrai jeu avec une vraie difficulté.La DA, les graphismes, la jouabilité, le systeme de vieillesse que dire... Un sacré bol d’air frais.J’en suis a 5h de jeu et toujours pas echoué une seule fois. Quand on maitrise on maitrise. Si on maitrise pas on retourne sur fortnite ou en carriere sur fifa.",king-mozzy,HIGH
11,Wolcen : Lords of Mayhem,Il donne une superbe note à Warhammer 40k le inquisitor (j ai mon perso au max mais on se faisait vraiment chier à JOUER)... WOLCEN qui a des capacité de dingue un vieux 12. Je parle même pas de Diablo 3 qui au début avait des serveur qui buggués à la mort,ouedd,HIGH
12,Metro Exodus,"Noter Metro Exodus parce qu'il est sur Epic Store et pas Steam, et non pour ses qualités ou ses défauts, est totalement ridicule et aberrant.
Ce jeu est magistral, magnifique.
Graphismes somptueux.
Ambiance grandiose.
Quelques bugs et IA parfois aux fraises.
Mais pour contrebalancer les notes débiles mises par des gamins pré-pubères ayant des actions chez Steam, je met 20 à ce chef d'oeuvre !",Mongwer,HIGH
13,Metro Exodus,"Pour moi le jeux et juste parfait! Sublime graphiquement, direction artistique de malade mentale, level design au petit oignon, c'est juste une tuerie, franchement je ne comprend pas les gens qui n'aime pas ce métro et/ou ceux qui lui mette un 5/20, (la on et vraiment dans de l’abus pure et dur les gens). Sinon, exceptionnel, remplis d'émotion. Je me suis gravement attacher au personnages et j'ai été gravement triste à la fin. J'ai refait le jeux 2 fois, la première fois en difficulté max (et j'ai eu la mauvaise fin) et la deuxième en difficulté normale (pour la bonne fin) et c'est juste une dinguerie, dommage qu'il soit méga trop court! Sinon je recommande chaudement!PS: J'y ai joué sur pc, les graphisme a fond en 2k Ray Tracing à fond et DLSS, et je n'ai eu qu'une réaction en voyant mon écran,",JulienFrisson,HIGH
14,Metro Exodus,"Alors que je l avais boudé à sa sortie sûrement à cause des critiques, je me suis pris une baffe, au même titre que doom 3, half life 2 ou même un witcher 3 et oui rien que ça, ce jeu est une merveille d ambiance, on plonge littéralement dans son univers.",tartuf86,HIGH
15,Metro Exodus,"Pour moi le jeux et juste parfait! Sublime graphiquement, direction artistique de malade mentale, level design au petit oignon, c'est juste une tuerie, franchement je ne comprend pas les gens qui n'aime pas ce métro et/ou ceux qui lui mette un 5/20, (la on et vraiment dans de l’abus pure et dur les gens). Sinon, exceptionnel, remplis d'émotion. Je me suis gravement attacher au personnages et j'ai été gravement triste à la fin. J'ai refait le jeux 2 fois, la première fois en difficulté max (et j'ai eu la mauvaise fin) et la deuxième en difficulté normale (pour la bonne fin) et c'est juste une dinguerie, dommage qu'il soit méga trop court! Sinon je recommande chaudement!PS: J'y ai joué sur pc, les graphisme a fond en 2k Ray Tracing à fond et DLSS, et je n'ai eu qu'une réaction en voyant mon écran,",JulienFrisson,HIGH
16,Fallout 76,"J'ai beau réfléchir et chercher, je ne comprend pas la pluie de mauvaises critiques pour ce jeu. Pour moi, c'est le jeu de l'année et même le jeu des 5 dernières années. Ça fait un long moment que je n'arrive pas à accrocher pendant plus qu'une semaine à un jeu, mais Fallout 76 est une rare exception. J'ai beaucoup apprécié les précédent opus, même fallout 4, quoique je commençais à me lasser du gameplay. Mais là. Enfin du contenu original! Du changement! Un coup d'audace! Il ne mérite pas moins de 15/20...",Gyrostat,HIGH
17,Fallout 76,"Ce jeu est tellement addictif, graphisme, histoire, multi... Rien à redire.
Je comprend pas vraiment cette acharnement de la part des joueurs.De nos jours les joueurs sont tellement exigent, sévère. Dommage pour eux de passer à côté de ce chef-d'oeuvre.mais il faut etre arruve niveau 50 pour commence vraiment a joueur et comprendre l histoire le menu tres simple prentiquement le meme que fallout 4 donc bon apres les rage qui note sans joue vraiment au jeu ne peuve comprendre comme jvc car il on juste une fois de plus gratte la surface un bijoux",firetitan,HIGH
18,Spyro Reignited Trilogy,"Pour moi cette note représente ce que le jeux est, il faut savoir apprécier un jeux avec ces bugs et autre... toute la passion qui a été mis pour la création de ce jeux ne doit pas être négliger à cause de ces problèmes (qui peuvent être corrigé avec un patch), ce jeux est la et restera l'une des sortie les plus importante de cette année",Tomokorisatu,HIGH
19,Spyro Reignited Trilogy,"Pour moi cette note représente ce que le jeux est, il faut savoir apprécier un jeux avec ces bugs et autre... toute la passion qui a été mis pour la création de ce jeux ne doit pas être négliger à cause de ces problèmes (qui peuvent être corrigé avec un patch), ce jeux est la et restera l'une des sortie les plus importante de cette année",Tomokorisatu,HIGH
20,Star Wars : Battlefront II,"Je mets cette note pour faire remonter la moyenne mais sinon je mets 16/20 , bon jeu . Les micros-transactions ne sont plus présentes donc stop crier OUIN OUIN OUIN OUIN OUIN MICRO TRANSACTION OUIN OUIN OUIN DICE LES ARNAQUEURS ...",ryuk45,HIGH
21,Star Wars : Battlefront II,"Ce jeux mérite 15 ou 16 pour son contenu, Graphisme, son... La polémique sur les micro transactions n a pas lieux d être ou c est pire chez certains jeux BF4 GTA...
Ps: je met la note de 20 à cause de tout ces Jean-Kevin",toutouquibouffe,HIGH
22,Hellblade : Senua's Sacrifice,"Très bon jeu, depuis The Witcher 3 ça faisait longtemps que je n'avais pas reçu une tel claque par un jeu qui est de plus indépendant.
Le jeu est magnifique ( même si j'ai du mettre les graphismes aux minimum pour éviter que mon PC surchauffe).
L'histoire est très bien raconté, l'immersion est direct et on ressent rapidement la détresse et la peur du personnage. Le jeu ne fait pas que raconter une simple histoire, il donne une place au joueur, le faisant passer pour une des voix dans la tête de Sanua, lui faisant ressentir les sentiments que le personnage a.
Les contrôles sont basiques ce qui n’empêche pas de prendre du plaisir dans les combats, combats qui sont stressant, même si finalement assez rare ( les énigmes prendront pas mal de temps surtout si vous n'avez pas encore vu de vidéos dessus).
Les énigmes ajoutent certains concepts plutôt intéressant.Si je dois donner les moins du jeu :
Il est assez court malheureusement. 8h de jeu seulement. On veut juste continuer à la fin, aider ce personnage qui est torturé durant toute l'histoire
Parfois répétitif.Certains me diront que je surnote le jeu, mais pour moi il mérite cette note. Innovant, beau, immersif. Si ce jeu pouvait avoir une suite du même niveau cela serait parfait.",zangdar761,HIGH
23,Naruto Shippuden Ultimate Ninja Storm 4,moi jai jouer a tout les naruto et jattend celui la avec impatience sais pour quoi moi je lui donne 20sur20 le seul que jai pas jouer sais sur wii et le premier storm,fusionqc,HIGH
24,Just Cause 3,"Je met un 20 bien mérité parce que si comme 1erfrancois le dit,ce jeu a été coder avec l'anus,les devs méritent une médaille car  ça doit pas être simple et reposant,ils ont du en chier grave.
Au moins on pourra pas dire qu'ils ne se sont pas bougés le cul.",Mrblablablabla,HIGH
25,Tom Clancy's Rainbow Six Siege,"Malgré les bug de matchmaking qui vont être supprimé. Adieu les jeux FPS pour celui qui tir le plus vite.Enfin un FPS Tactique parfait avec un aspect Coopération PVP ou PVE indispensable pour faire de bonnes parties. Dans ce jeu, seuls les plus intelligents survivent et les kikous meurent.Chaque action est fatidique, plus de hasard. Faire une erreur de réflexion et tous la situation peut se reversé, même en 5 contre 1.De plus, L’aspect du jeu le plus intéressant est concept des opérateurs. Chaque Opérateur ont des équipement spécifique et complémentaire entre eux. Et chaque opérateur permet de faire des stratégies complexes.En gros, enfin un jeu pour les vrai adultes.PS: Le seul point négatif pour moi est le C4. Il est trop OverPower car on peut le lancer a 10 mètres puis le faire détonner quasi instantanément. C'est le seul équipement bourrin non-stratégique que je veux qu'il soit nerfé surtout sa faculté d’être lancer loin.",scootard,HIGH
26,Tom Clancy's Rainbow Six Siege,"Malgré les bug de matchmaking qui vont être supprimé. Adieu les jeux FPS pour celui qui tir le plus vite.Enfin un FPS Tactique parfait avec un aspect Coopération PVP ou PVE indispensable pour faire de bonnes parties. Dans ce jeu, seuls les plus intelligents survivent et les kikous meurent.Chaque action est fatidique, plus de hasard. Faire une erreur de réflexion et tous la situation peut se reversé, même en 5 contre 1.De plus, L’aspect du jeu le plus intéressant est concept des opérateurs. Chaque Opérateur ont des équipement spécifique et complémentaire entre eux. Et chaque opérateur permet de faire des stratégies complexes.En gros, enfin un jeu pour les vrai adultes.PS: Le seul point négatif pour moi est le C4. Il est trop OverPower car on peut le lancer a 10 mètres puis le faire détonner quasi instantanément. C'est le seul équipement bourrin non-stratégique que je veux qu'il soit nerfé surtout sa faculté d’être lancer loin.",scootard,HIGH
27,FIFA 16,"Juste pour réequilibrer les notes de certaines qui, apparemment, préféraient quand ça courait de partout et que les passes en pivot dans le dos sans regarder passaient...bref, quand c'était pas du foot. Fifa 16, c'est du foot, du moins ça y ressemble un peu plus.",Tmac089,HIGH
28,FIFA 16,"Meilleur cru que l'an passé en nous laissant un goût exceptionnel : ce FIFA paraîtra un peu amer à ceux dont le style se verra modifié par son nouveau fonds de jeu plus rugeux et défensif, mais aussi plus précis et exigeant. Je donne 20 car trop de moutons suivant la masse ont décidés de mettre des mauvaises notes sans y avoir jouer",DerekFrost,HIGH
29,FIFA 16,"Juste pour compenser la mauvaise foi de certaines...et si ça peut un peu les ennuyer c'est encore mieux.On voit ceux qui ont souffert sur le 15 et ceux qui ont adoré les tout droits et la vitesse à outrance. Passes hasardeuses ? Passez en semi-assisté, prenez le temps de vous habituez. Sinon, passez votre chemin, PES est effectivement une autre option. Sauf si comme moi vous jouez sur PC et que Konami vous sert une sous version buggée, bref, se fout de vous et de la communauté à laquelle vous appartenez.J'aurais mis 16 en toute objectivité voire 17 si je prend en compte la frustration causée par Fifa 15.",Tmac089,HIGH
30,Until Dawn,"Je n'ai jamais compris pourquoi les jeux de Quantic Dream ont toujours été vus d'un mauvais oeil et que d'un autre côté les TellTale (comme The Walking Dead) ou Life is Strange sont décrits comme des chefs d’œuvres alors qu'on assiste exactement au même type de jeux, certes chacun avec ses qualités et défauts. Mais on ne peut pas s'obstiner à dénigrer l'un et à valoriser l'autre.
Ici avec Until Dawn, je dirais qu'il est le mélange entre un Quantic Dream et un TellTale, une technique photo-réaliste avec une sensation de pouvoir influer sur toute l'histoire avec une sorte de ""Clémentine s'en souviendra"". Au final le scénario est beaucoup plus impacté que dans un The Walkind Dead.
On adore aussi consulter en temps réel l'évolution des statistiques des personnages et de pouvoir les façonner à notre manière.
Du côté de l'ambiance, elle assez bien retranscrite. Preuve en est, il suffit juste de consulter l'enregistrement de la PlayStation Camera afin de voir comment on a été ridicule à travers les différents Jump Scares.",PolYGam3,HIGH
31,Until Dawn,"Amateur de Slasher ET de jeux à la Heavy rain ou Life Is Strange... ce jeu est fait pour vous et c'est un pur bonheur !!!
Pour les autres qui n'aiment pas ce type d'expérience vidéoludique, pas la peine de rager, il y a plein d'autres jeux faits pour vous, il en faut pour tous les gouts.",iamakeda,HIGH
32,Batman Arkham Knight,"Ma note réelle est un bon 18/20 mais je met 20 pour contrer les kikoos pcistes qui ont mis des notes de merde parce qu'ils jouent sur un support de merde,enfin bon,on sait tous que les pcistes ne brillent pas par leur intelligence,c'est pas pour rien si ils ont une réputation de gamin.
Fin de la parenthèse
En ce qui concerne le jeu,il est évidement exceptionnel! rocksteady prouve une fois de plus qu'il est le meilleur studio juste derrière Naughty Dogs. Techniquement il n'y a rien a dire,le jeu est fluide et sans aucun bug sur console,le gameplay a été grandement amélioré,visuellement c'est une tuerie,l'histoire est assez basique mais sympa,on retrouve tous les personnages emblématique de la licence.... bref difficile de trouver des défauts. Peut-être la batmobile qui est trop présente et qui a une maniabilité assez merdique.
Un très bon jeu c'est une évidence et ceux qui critiquent ce sont juste les pcistes parce qu'ils ne peuvent tout simplement pas jouer au jeu,donc ne les écoutez pas. C'est comme les pro-s/m qui critiquent les exclues d'en face parce qu'ils sont jaloux de ne pas pouvoir y jouer.",Scabbia33,HIGH
33,Elden Ring,"1er constat: aucun bug. A.U.C.U.N.J'aime les Souls et je ne suis vraiment pas perdu dans Elden Ring. On y retrouve beaucoup de simulitudes, notamment au niveau de l'inventaire, de l'équipement, de l'utilisation des objets ou des armes... ainsi que la difficulté/l'exigence habituelle des Souls. Et ça, c'est une très bonne nouvelle. Ayant comme tout le monde entendu parler d'un jeu ""rendu plus accessible"" j'étais un peu inquiet de ne pas retrouver le challenge habituel sur Elden Ring, mais il est bien là.Les devs ont rendu le jeu plus accessible sur des points qui ne nuisent absolument en rien au plaisir que les joueurs recherchent. Au contraire, je trouve même que certaines choses ont été judicieusement améliorées, mais j'éviterai d'en parler pour ne pas Spoil.Esthétiquement c'est très agréable, mais on regrette un peu que les animations n'aient pas (ou très peu) changé depuis Dark Souls 3. Par contre je suis en kif total devant les décors intérieurs, souvent plus sombre.Bref, on a vraiment un excellent jeu: beau, fluide, sans bug, vaste mais rempli de secrets, tantôt sombre et étriqué, tantôt lumineux et ouvert, on retrouve ce qui fait la force d'un Souls accompagné d'un vent de fraicheur impeccablement dosé. Le jeu annonce de nombreuses heures de plaisir. Mention spéciale pour le prix: 59€ sur PS5 avec un étui et un contenu sympa dans celui-ci, c'est très honnête.",youri293,MEDIUM
34,Elden Ring,"J'en suis a 30 heures et je peut clamer haut et fort que c'est le meilleur open world qui m'est été donné de parcourir.
Je faisais parti des sceptiques a l'idée d'adapter le level design étriqué des souls et c'est un pari réussi.
Une verticalité qui n'a d'égale dans sa conception, un monde ouvert ou chaque combat a été pensé pour vous cloisoné entre vous et le mob en question malgré une liberté incroyable.
Techniquement c'est d'une splendeur incroyable, les souls avaient besoin d'un petit lifting et c'est chose réussi avec brio. Suffit de se tenir en hauteur pour prendre des baffes avec des panoramas incroyable.
Les boss ont tous un gameplay au poil et maitrisé, ya 20 ans d'expertise de souls derrière et ca se ressent.
Une difficulté qui aurait pu être parfaite... sans les invocations qui casualisent beaucoup TROP le jeu.
Mais bon on peut refuser de s'en servir, puis c'est pas comme si la magie existé depuis demon souls si on veut parler de casualisation. Disons que c'est une alternative qui plaira au plus grand nombre.En revanche ceux qui mettent 10 et moins sans y avoir jouer, contribuant a cette mode du review bombing, vous faites drôlement pitié.",SanOuAvecGoku,MEDIUM
35,Elden Ring,"Bon, quand je vois les avis très objectif des utilisateurs du site,je me dis qu’il faut bien mettre une note pour remonter la moyenne de ce chef d’œuvre car oui, sur ps5 plus particulièrement, ce jeu est magnifique même en mode performance sans  aucun bug .Les gens ne comprennent pas que les temps est que les jeux demandent une meilleure configuration, j’imagine bien qu’il y a d’autres personnes qui n’on toujours pas compris le principe de Die and retry des souls, l’un des seuls point noirs c’est les ennemis cons, parfois mal fichue ou complètement repomper sur les autres jeux ps : le gameplay à est satisfaisant mais frustrant dans les endroits exigus.",Badway000,MEDIUM
36,Elden Ring,"Un peu partagé quand même, au début j'aurai volontiers mit un 20, met j'ai un doute quand à la formule monde ouvert, déjà d'un point de vue de la rejouabilité ( car les souls en ont toujours beaucoup) ben ça me branche pas, l'idée de devoir me refaire chaque donjon, explorer à nouveau toute la map, chopper chaque items.. pfouu non.
Puis globalement, tout ces donjons et ces 40000 ruines, ça m'a pas fait vibré plus que ça.
Je rajouterais que le craft est inintéressant ( comme dans n'importe quel jeu que j'ai pu voir hors path of exile ) un peu personnel comme avis, mais quand je vois un objet qui brille au loin et que je fais un détour tout ça pour que ce soit une énième plante à la c**.. bon.
Je crois que j'aurais aimé un truc un peu plus condensé par moment, un peu moins de ressemblance entre tout ces donjons qui ont toujours la même gueule.
à coté de ça j'ai pas grand chose à redire, la da est monstrueuse, le système de cendre de guerre est une très bonne idée, les combats sont toujours aussi satisfaisant, bref le jeu est vraiment bien mais pour ce from software il n'y aura pas de reroll pour moi.
Je rajouterais quand même que ça manque encore d'équilibrage ( coucou les incantations ) et je ne parle même pas de celui du pvp",Gallylapoisse,MEDIUM
37,Elden Ring,"Tout a déjà été dit dans les commentaires. Je rajouterai que cela fait 1an et demi que la Playstation 5 est sorti et nous n'étions pas gâter jusqu'à présent. Entre les jeux sortie à la hâte à moitié complet, truffé de bugg et de problèmes en tout genre En comptant sur les retours terrain des joueurs pour sortir des patchs correctif toutes les 4seconde.
Elden ring a parfaitement réussi à sortir un des open World des plus complets que je connaisse. Sans problème majeur. Pour une fois enfin mes 80euros j'ai pas l'impression de me les être fait voler. Cela me fait doucement rire lorsque CD PROJECT RED avec Cyberpunk invoquer comme ligne de défense que l'Open World était trop vaste et qu'il y avait trop de chose à gérer. On se moque de nous.20/20 pour ce elden ring qui pour moi est un chef d'oeuvre je n'avais jamais vraiment réussi à comprendre l'univers de tous les jeux from software, voilà que elden ring a réussi a vouloir me faire rejouer a tous ses prédécesseurs. J'ai mis 19 car il aurait du être une exclu next gen afin d'en pousser encore plus l'optimisation",lamivincenzo,MEDIUM
38,Elden Ring,"De base j'aurais mis 18/19 mais j'augmente un peu afin de contrer les haters
C'est pour moi (et apparemment pas mal de spécialistes) l'un des meilleurs jeux auquel j'ai pu jouer, graphiquement on est loin d'une claque à la Tlou ou Horizon mais ça reste très propre, surtout que le tout à une direction artistique à TOMBER PARTERRE, littéralement (Mention à la compositrice qui a cette fois fais l'Ost des boss + des environnements, cela donne une harmonie à l'ensemble, c'est cool)
Côté difficulté j'avais peur que le jeu devienne ""facile"" mais en vérité il est juste plus accessible et c'est pas plus mal !
L'open world est une masterclass, on a vraiment ce sentiment à la Zelda de pouvoir aller vers tout ce que l'on voit autour de nous, en particulier lorsque on est curieux, le jeu vous récompense, tantôt bien grassement, tantôt par une punition qui au final n'en est pas une (Je laisse la surprise pour ne pas spoil)
Le coup de génie en plus pour l'Open World sont les ""legacy dungeon"" qui sont enfait les zones abritant les boss majeurs du jeu, zones qui sont enfait calquées sur le modèle DS/Bloodborne avec un level design encore tellement maîtrisé
Autre point tellement sous côté je trouve et du côté du multijoueur, qui est comme tout les autres points un aboutissement de ce qu'a pu faire FS par le passé, je vous spoil rien, mais c'est jouissif!
Pour finir je vais parler de quelques points négatifs, notamment un clipping presque constant sur Ps5, une chute de Fps à chaque téléportation, mais qui ne nuit en rien à l'expérience et sera sûrement patch.
Bref, je vais finir en disant que le jeu n'est pas à mettre entre toutes les mains, mais encore une fois ""À faire des jeux pour tout le monde on finit par en faire pour personne""
Levez-Vous Sans-Éclat!",PyraxLeFou,MEDIUM
39,Elden Ring,"Bonjour! Alors la franchement je joue depuis ke pense 15h. Et je ne sais pas comment des gens peuvent mettre des note comme 0 ou 5 ou meme 10...
Ouvrez les œils le jeu est un chef d'œuvre... vraiment
La DA est juste incroyable. Les mec on vraiment bien bosser.
Je met 20 pour remonter la note joueurs. Normalement cest 19.Car la j ai honte de voir la note moyenne....
La difficulté est dure. Oui
Mais si on cherche bien et quon évolue bien les niveaux et les point de compétence
 Il n y a vraiment pas de soucis
Encore vravo FromSW
🤝",Daividboss,MEDIUM
40,Elden Ring,"Excellent jeu, impossible de s'arrêter quand on a commencé,  je met 20 à cause de ceux qui mettent des 5 ou autres notes ridicules du genre sinon objectivement ce serai un 18 ou 19",ultras33,MEDIUM
41,Elden Ring,"Je pense qu'on est là sur une masterclasse ultime.
Pauvre horizon qui se fait totalement oublier une semaine après sa sortie.
Alors je vois les rageux ""Gneugneugneu, il est pas beau, c'est trop dur, c'est comme dark souls en open world"".
Partant de là, mettons 0 à Pokémon Arceus parce que c'est pas beau, et 0 à Horizon parce que c'est la même chose que le premier.Côté graphisme, c'est pas fou (Surtout si on a joué à Demon's Souls Remake), mais la DA est tellement belle qu'on oublie vite le reste.
Le gameplay est une consécration de tout ce que sait faire FS. C'était déjà parfait sur leurs précédents jeux ; c'est plus que parfait ici, rien n'est laissé au hasard.
Le jeu s'offre aux néophyte grâce à l'open world qui permet de ne pas rester bloquer contre un boss trop dur.
Il y a plein de bonnes idées qui permettent une bonne ergonomie du jeu, et il faudra énormément de temps pour tout explorer.
Je joue sur PS5, donc je n'ai pas de problème ""d'optimisation"" que rencontre certains joueur PC.
Au final, la seule chose qu'on pourra reprocher au jeu, c'est d'être crossgen.
La même chose développer dans une optique full next gen aurait été plus qu'incroyable.
Mais bon, on a déjà l'incroyable.",ryuka2,MEDIUM
42,Elden Ring,"Meilleures jeu de l'année actuellement , a voire botw 2Honte à tous les hypocrite qui lui ont mit 0 juste parce-que il ont la haine que le jeu sois meilleures que horizon Forbiden West Aka le pétard mouillé de février",CIAOLESNAZES,MEDIUM
43,Elden Ring,"Il y a des années que je n'avais pas été happé par un jeu vidéo! Quelle folie! Les graphismes sont somptueux, le character design hyper réussi! Les combats sont très techniques, mais la prise en main se fait très facilement. Ce que j'aime par dessus tout est l'absence ce journal de quêtes. Pour les trouver il faut explorer, observer, expérimenter. Cela ne veut pas dire qu'on est livrés à nous-mêmes! Il y a toutes les indications nécessaires dans les descriptions des objets et sur la carte! Quant au multi, il est hyper bien pensé, car il permet de trouverde l'aide quand on en a marre de mourir contre le même boss. Un jeu exigeant, passionnant, et diablement immersif! J'ai déjà passé 25 heures dessus, et quelque chose me dit que je vais encore en passer un paquet!  Franchement, chapeau bas!",Gildaninio,MEDIUM
44,Elden Ring,"Tout simplement un chef d'œuvre , monsieur miyazaki s'est surpasser !
Oui par contre jrr Martin n'a absolument rien fait dans ce jeu a part quelques références mais bordel on prend beaucoup de plaisir à explorer , un vrai jeu où le joueur doit chercher pour ses quêtes au lieu d'avoir un journal et des marqueurs pour assister.",Pseudo supprimé,MEDIUM
