,game,platform,comment,username,grade,comment_normalized,compound_vader
1298,Horizon : Forbidden West,PlayStation 5,"Environ 15 heures et wow quel jeu incroyable. Le début est en quelque sorte un didacticiel et très linéaire, une fois que vous avez dépassé ce stade, c'est un monde ouvert. Assurez-vous d'aller dans les paramètres et d'ajuster les graphiques pour qu'ils soient de la plus haute qualité de ""performances favorables"". L'histoire est géniale, de petites cinématiques longues parfois, les graphismes sont incroyables. Beaucoup d'options différentes pour les paramètres, ajustez-les en conséquence. Le réglage sous l'onglet ""Visuel"" vous permettant de voir visiblement les grappins d'escalade, ""l'annotation d'escalade"" est une touche agréable, peut littéralement grimper partout et voir où se trouvent les grappins car ils sont entourés de jaune. Les gens qui se plaignent de cela doivent aller dans les paramètres et expérimenter avec et monter la partie visuelle et vous serez prêt à partir. Une fois que j'ai amélioré les visuels pour favoriser les performances, j'ai littéralement dit ""putain de merde"" parce que c'était si beau. Je n'ai pas rencontré de bugs ou de bugs. Joué sur PS5 et jusqu'à présent définitivement un excellent jeu",SonyRagnarok,20,environ heures wow quel jeu incroyable début quelque sorte didacticiel très linéaire fois dépassé stade cest monde ouvert assurezvous daller paramètres dajuster graphiques quils plus haute qualité performance favorables lhistoire géniale petite cinématiques longues parfois graphismes incroyables beaucoup doptions differentérentes paramètres ajustezles conséquence réglage sou longlet visuel permettant voir visiblement grappins descalade lannotation descalade touche agréable peut littéralement grimper partout voir trouvent grappins car entourés jaune gen plaignent cela doivent aller paramètres expérimenter monter partie visuelle prêt partir fois jai amélioré visuels favoriser performance jai littéralement dit putain merde parce cétait beau nai rencontré bug bug joué ps5 jusquà présent définitivement excellent jeu,0.9455
1299,Horizon : Forbidden West,PlayStation 5,"Ça faisait longtemps que je n'avais pas lancé un jeu en me disant ce que c'est un grand jeu, certes les visuels y participent beaucoup, néanmoins la musique, les micro-animations, les détails des costumes, la lumière (C'est vraiment bluffant on dirait du CGI à chaque cinématique.) Bref, je soupçonne tous ceux qui mettent un avis négatif de ne pas avoir le jeu sur PS5 car sur cette version, avec un peu de recul, impossible de mettre une mauvaise note, ce jeu est le nouvel étalon de l'open world. Bravo aux équipes de développement. Je pense qu'il y a peut être à redire sur les choix de game design, systémiques du jeu (ce n'est ni totalement un RPG, ni un simple jeu d'action, Oscillant entre plusieurs genres : AC, Monster Hunter, The Witcher 3 ...). Mais c'est un parti pris et je n'ai pas la prétention de dire aux équipes qu'est ce qui serrait mieux car chaque choix de design est compréhensible. Donc encore une fois Bravo !",z_one,19,faisait longtemps navais lancé jeu disant cest grand jeu certes visuels participent beaucoup néanmoins musique microanimations détails costume lumière cest vraiment bluffant dirait cgi chaque cinématique bref soupçonne tous ceux mettent avis négatif avoir jeu ps5 car cette version peu recul impossible mettre mauvaise note jeu nouvel étalon lopen world bravo équipes développement pense quil peut être redire choix game design systémiques jeu nest totalement rpg simple jeu daction oscillant entre plusieurs genre monster hunter the witcher cest parti pris nai prétention dire équipes quest serrait mieux car chaque choix design compréhensible donc encore fois bravo,0.1832
1302,Horizon : Forbidden West,PlayStation 5,"que de mauvaises notes données par les frustrés xbox et les gameurs du dimanche de moins de 13 ans qui ne s'y connaissent pas. Jouez déjà au 1er horizon avant de critiquer et essayez de comprendre un peu l'histoire. Pour moi c'est LE jeu de l'année, quelques heures dessus et je suis déjà accroc. quel plaisir de retrouver Aloy dans ses aventures, un gameplay tellement agréable et intuitif, de superbes graphismes dignes de la ps5, et une histoire accrocheuse. plusieurs heures de pur bonheur devant moi. L'attente en valait largement la peine. Digne successeur de son grand frère.",SpeedRun27,20,mauvaises note données frustrés xbox gameurs dimanche moins connaissent jouez déjà 1er horizon avant critiquer essayez comprendre peu lhistoire cest jeu lannée quelques heures dessus déjà accroc quel plaisir retrouver aloy aventures gameplay tellement agréable intuitif superbes graphismes dignes ps5 histoire accrocheuse plusieurs heures pur bonheur devant lattente valait largement peine digne successeur grand frère,0.8307
1306,Horizon : Forbidden West,PlayStation 5,"Un vrai chef d'œuvre. Playstation est vraiment maître dans l'univers des jeux solo!Après un excellent horizon zero dawn,cette suite est encore meilleur à tout les niveaux.",omargsxr82,20,vrai chef dœuvre playstation vraiment maître lunivers jeux soloaprès excellent horizon zero dawncette suite encore meilleur tout niveaux,0.836
1307,Horizon : Forbidden West,PlayStation 5,"Normalement, je ne laisse pas de critiques, mais cela me fait mal de voir que ce jeu n'a qu'une note de 88 meta ... Ce jeu est absolument incroyable, le niveau de finition et de détails insensés du monde est à couper le souffle. La façon dont les PNJ font leur travail dans les villes, coupant du bois, cuisinant de la nourriture, vous l'appelez, ça a l'air réel. Il n'y a absolument aucune blague. C'est comme si tout était plafonné et c'est magnifique. Le niveau de détail est partout et sur tout, puis il y a l'histoire... C'EST LE MEILLEUR auquel j'aie jamais joué... ce jeu a un niveau de finition et d'amour bien au-dessus de tout le reste. Ne vous méprenez pas, j'adore Elden Ring mais pour moi il n'y a pas de véritable comparaison, Herizon Forbid West a un niveau bien supérieur à celui d'Elden Ring et c'est assis à 97meta ... J'espère sérieusement que ce jeu obtiendra le jeu de l'année, il vraiment vraiment c'est incroyable. Et les développeurs méritent tellement mieux que ce qui est actuellement évalué ! Merci d'avoir créé un si bon jeu, le niveau d'amour mis dedans est tout simplement exceptionnel et rend franchement tout le reste pathétique avec les jeux bogués et de mauvaise qualité qui sortent depuis quelques années. 11/10. Je n'ai pas eu de crash, pas de gros bugs (un PNJ est tombé du ciel et un grand cou a été dupé, mais ce sont les seuls bugs ou problèmes que j'ai eu et cela en dit vraiment long sur le fait de jouer au moins 8 heures par jour depuis la sortie",JosetteDeBrest,20,normalement laisse critique cela fait mal voir jeu quune note meta jeu absolument incroyable niveau finition détails insensés monde couper souffle façon not pnj font travail villes coupant bois cuisinant nourriture lappelez lair réel absolument aucune blague cest comme tout plafonné cest magnifique niveau détail partout tout puis lhistoire cest meilleur auquel jaie jamais joué jeu niveau finition damour bien audessus tout reste méprenez jadore elden ring véritable comparaison herizon forbid west niveau bien supérieur celui delden ring cest assis 97meta jespère sérieusement jeu obtiendra jeu lannée vraiment vraiment cest incroyable développeurs méritent tellement mieux actuellement évalué merci davoir créé bon jeu niveau damour dedans tout simplement exceptionnel rend franchement tout reste pathétique jeux bogués mauvaise qualité sortent depuis quelques années 1110 nai crash gros bug pnj tombé ciel grand cou dupé seuls bug problèmes jai cela dit vraiment long fait jouer moins heures jour depuis sortie,0.8829
1309,Horizon : Forbidden West,PlayStation 5,"Je suis obligé de créer un compte jvc à 32 pige pour lutter contre les fans boys de telle ou telle communauté, j ai absolument rencontré aucun bug en 23h51 de jeu je joue en mode résolution, le jeu est très beau et très fluide plutôt étonnant quand je vois les avis à droite à gauche ,c'est le mode résolution le plus beau à ce jour sur ps5 voilà c est le petit commentaire pour les joueurs voulant un avis testé le par vous même faut pas venir chercher ou plus venir chercher des test objectifs sur jvc que ce soit de la part des joueurs ou des testeurs, c'est pas le jeu du siècle mais quel open Word fait mieux actuellement ???? Bien entendu je suis obligé de remonter la note d'un jeu qui selon moi mérite 17.",Stratos85,20,obligé créer compte jvc pige lutter contre fan boy telle telle communauté absolument rencontré aucun bug 23h51 jeu joue mode résolution jeu très beau très fluide plutôt étonnant quand vois avis droite gauche cest mode résolution plus beau jour ps5 voilà petit commentaire joueurs voulant avis testé faut venir chercher plus venir chercher test objectifs jvc part joueurs testeurs cest jeu siècle quel open word fait mieux actuellement bien entendu obligé remonter note dun jeu selon mérite,0.9676
1312,Horizon : Forbidden West,PlayStation 5,"Une vraie merveille, quel travail incroyable de la part de guérilla games !! Merci à eux et à Sony d’avoir pu nous sortir ce sublime jeu en début d’année 2022. Le jeu est vraiment beau, l’histoire est touchante et la fin grandiose.",anthony123,20,vraie merveille quel travail incroyable part guérilla game merci sony davoir sortir sublime jeu début dannée 2022 jeu vraiment beau lhistoire touchante fin grandiose,0.8588
1315,Horizon : Forbidden West,PlayStation 5,"Un univers somptueux et une ambiance folle.
Des paysages à couper le souffle. Gameplay très bon avec des combats jouissif contre les machines.
Musique magnifique, comme le premier.
Une technique irréprochable.
Scénario difficile de faire mieux que le premier, mais reste bon.
Point négatif: systèmes d'escalade qui n'est pas très précis et prend un peu de l'âge.",Valcab72,20,univers somptueux ambiance folle paysages couper souffle gameplay très bon combat jouissif contre machine musique magnifique comme premier technique irréprochable scénario difficile faire mieux premier reste bon point négatif systèmes descalade nest très précis prend peu lâge,0.5446
1317,Horizon : Forbidden West,PlayStation 5,"Comme quoi ! L’argent c’est bien beau mais sans talent… on se retrouve à acheter Callouf pour 70 mds 
Sony encore entrain de devoir distribuer des goty pour montrer a Ms que les rachats c’est bien beau mais a un moment donné il faut savoir sortir des jeux, et des BONS !!!",PaulDePau,20,comme quoi largent cest bien beau sans talent retrouve acheter callouf sony encore entrain devoir distribuer goty montrer rachats cest bien beau moment donné faut savoir sortir jeux bons,0.6449
1319,Horizon : Forbidden West,PlayStation 5,"Je mets un 20/20 car cette note de 15 est injuste, et à été l’œuvre de « joueurs » remplie de bêtise, pour rester poli.Entre des 12/20 se plaignant de « graphismes bof », d’un mauvais moteur physique / gameplay… Des 0/20 parce que « 2 fois moins long. » tout en commentant Day One (donc à peine le temps de terminer l’introduction) …D’un soi-disant vendeur de jeux vidéo qui a terminé le jeu à 100% day one (quêtes principale et annexe, objets collectionnables, creuset), mais qui met une note de 4/20. D’accord.D’autres qui se plaignent « d’un jeu à gros budget qui ne propose rien de nouveau, ils se contentent de copier les autres jeux qui se vendent bien sans prise de risque », c’est une plaisanterie, je pense.
D’autant plus quand ce sont des joueurs XBOX qui commente, et donc ne dispose pas de ce jeu.Je ne vais pas m’éterniser, mais le jeu est graphiquement dingue, scénaristiquement prenant, c’est un régal. Ils ont encore réussi à me surprendre. J’en suis à 40H de jeu, et je ne l’ai pas encore terminé.Quel bonheur d’explorer ce monde, de voir les anciennes traces de combat passé, la carte est remplie de détail, partout. Elle vie, tout simplement. Découvrir les nouvelles civilisations tribales, qui prennent les symboles des anciens pour de signes mystiques.
Les grandes entreprises du JV comme EA et Ubisoft, ont du grain à moudre. Merci Guerilla. Merci Playstation.",julus568,20,mets 2020 car cette note injuste lœuvre joueurs remplie bêtise rester polientre 1220 plaignant graphismes bof dun mauvais moteur physique gameplay 020 parce fois moins long tout commentant day one donc peine temp terminer lintroduction dun soidisant vendeur jeux vidéo terminé jeu 100 day one quêtes principale annexe objets collectionnables creuset met note 420 daccorddautres plaignent dun jeu gros budget propose rien nouveau contentent copier autres jeux vendent bien sans prise risque cest plaisanterie pense dautant plus quand joueurs xbox commente donc dispose jeuje vais méterniser jeu graphiquement dingue scénaristiquement prenant cest régal encore réussi surprendre jen 40h jeu lai encore terminéquel bonheur dexplorer monde voir anciennes trace combat passé carte remplie détail partout vie tout simplement découvrir nouvelles civilisation tribales prennent symboles anciens signes mystique grandes entreprises comme ubisoft grain moudre merci guerilla merci playstation,0.7181
1320,Horizon : Forbidden West,PlayStation 5,"Encore une soirée qui fini à 2h du mat malgré le boulot tôt demain matin. Vraiment le meilleur jeu depuis la sortie de la PS5. Qualitativement et quantitativement.
L'ambiance est extraordinaire. Chasser de nuit, dans la jungle, 2 Traqueurs dotés de camouflage qui les rendent invisible, c'est intense et digne de Prédator. Avec tous les bruitages d'animaux de forêt tropicale, le bruissement du vent, le frémissement de la manette quand on se glisse dans les hautes herbes, le tout superbement éclairé par la pleine lune.
L'analyse pour attaquer avec les meilleures chances sinon la nuit sera coute et mortelle pour Aloy.",Mi-rando,20,encore soirée fini mat malgré boulot tôt demain matin vraiment meilleur jeu depuis sortie ps5 qualitativement quantitativement lambiance extraordinaire chasser nuit jungle traqueurs dotés camouflage rendent invisible cest intense digne prédator tous bruitages danimaux forêt tropicale bruissement vent frémissement manette quand glisse hautes herbes tout superbement éclairé pleine lune lanalyse attaquer meilleures chance sinon nuit coute mortelle aloy,0.9371
1322,Horizon : Forbidden West,PlayStation 5,"Comme quoi ! L’argent c’est bien beau mais sans talent… on se retrouve à acheter Callouf pour 70 mds  
Sony encore entrain de devoir distribuer des goty pour montrer a Ms que les rachats c’est bien beau mais a un moment donné il faut savoir sortir des jeux, et des BONS !!!",Estebanuss,20,comme quoi largent cest bien beau sans talent retrouve acheter callouf sony encore entrain devoir distribuer goty montrer rachats cest bien beau moment donné faut savoir sortir jeux bons,0.6449
1323,Horizon : Forbidden West,PlayStation 5,"Jouant sur ps4 pro le jeu pour le moment est magnifique j adore le nouveau système de combat par rapport au premier on sent bcp plus de pression dans cette opus sur le comportement d aloy sa lui donne plus de caractère. Les musique sont génial. Les camp amélioré par rapport au premiers opus également genial l histoire pour ma part et tjr aussi prenante.
Je comprend pas cette vague de 0 sur 20 totalement injustifié donc je dirais juste ceci à ceux qui hésitent acheté le 1 et si c est pas déjà le cas et continue l histoire sur forbiden la concurrence pour le meilleur  jeu sony ça etre serré cette année.",Daesuke,20,jouant ps4 pro jeu moment magnifique adore nouveau système combat rapport premier sent bcp plus pression cette opus comportement aloy donne plus caractère musique génial camp amélioré rapport premier opus également genial histoire part tjr aussi prenante comprend cette vague totalement injustifié donc dirais juste ceci ceux hésitent acheté déjà continue histoire forbiden concurrence meilleur jeu sony etre serré cette année,0.9208
1327,Horizon : Forbidden West,PlayStation 5,"Un petit 20 pour contrer les 0 des haineux bobox
Note réelle 18, pour l'instant je me régale, quelques bug par ci par là mais rien de rédhibitoire!Bréf buvez de l'eau les pro M ca vous fera pas de mal!",heyyou130,20,petit contrer haineux bobox note réelle linstant régale quelques bug rien rédhibitoirebréf buvez leau pro fera mal,-0.5994
1328,Horizon : Forbidden West,PlayStation 5,"Un jeu merveilleux. Tout simplement. L'univers est somptueux grâce aux graphismes magnifiques qui donnent sens au monde organique est à , le gameplay est efficace, la bande son fait le café. Pour la première fois depuis la sortie de la Playstation 5 j'ai enfin ressenti l'impression que le jeu vidéo est passé à la nouvelle génération. Un grand merci à Guerrilla Games pour cette expérience qu'est Horizon : Forbidden West.",QuarkerStrange,20,jeu merveilleux tout simplement lunivers somptueux grâce graphismes magnifiques donnent sen monde organique gameplay efficace bande fait café première fois depuis sortie playstation jai enfin ressenti limpression jeu vidéo passé nouvelle génération grand merci guerrilla game cette expérience quest horizon forbidden west,0.8979
1330,Horizon : Forbidden West,PlayStation 5,"Des enjeux captivants et une héroïne empathique
Une richesse visuelle ahurissante
Un open world gigantesque à l'univers cosmopolite
Des quêtes variées pour un temps de jeu important
Une très grande liberté de mouvementle meilleur jeu de l'année (ou deuxième avec god of war qui arrive)
toutes les exclues sony sont magistrales d'ou la frustration de plusieurs joueurs xbox qui mettent de fausses notes",pussylovercylon,20,enjeux captivants héroïne empathique richesse visuelle ahurissante open world gigantesque lunivers cosmopolite quêtes variées temp jeu important très grande liberté mouvementle meilleur jeu lannée deuxième god war arrive toutes exclues sony magistrales dou frustration plusieurs joueurs xbox mettent fausses note,0.6461
1331,Horizon : Forbidden West,PlayStation 5,"Je mets 20 , car ce jeu est magnifique  et beaucoup plus abouti que le premier . La narration est beaucoup plus interessante . Sur PS5 il est vraiment beau et les combats notamment des premiers boss est sont vraiment bien faits .
Et puis 20 aussi pour remonter le note mise en berne par les haineux qui pullulent sur ce site",krono69,20,mets car jeu magnifique beaucoup plus abouti premier narration beaucoup plus interessante ps5 vraiment beau combat notamment premier bos vraiment bien faits puis aussi remonter note mise berne haineux pullulent site,-0.5908
1333,Horizon : Forbidden West,PlayStation 5,"Je met un 20/20 a cause de tout c’est troll xbox immature ! Le jeu est simplement un pur chef d’oeuvre comme le premier.
La bande son est géniale la vf rend bien. Le graphisme sur ps5 de ouf, et la narration est grandiose. Et le game play est jouissif",Dasogan,20,met 2020 because tout cest troll xbox immature jeu simplement pur chef doeuvre comme premier bande géniale rend bien graphisme ps5 ouf narration grandiose game play jouissif,0.5093
1336,Horizon : Forbidden West,PlayStation 5,"Je suis très déçu des gens qui mettent des mauvaises notes alors que le jeu est sorti hier... En mode chupa 1mouton jmé 1/20 pck jfé pa kom lè otre l0lxdLe jeu vaut largement son prix, au vue des milliers d'heures de travail dessus, j'ai même pris le coffret collector pour soutenir la maison qui offre un jeu ultra complet dans les moindres détails.Bref, je ne l'ai pas du tout fini, comme tout le monde en fait, faut pas exagéré c'est impossible.Les vraies fans vont être ravi c'est tout ce que je peux dire ! Car je ne me prends pas pour un de ses pseudo testeur de jeu comme on en voit partout",The_doom_slayer,20,très déçyou gen mettent mauvaises note alors jeu sorti hier mode chupa 1mouton jmé 120 pck jfé kom otre l0lxdle jeu vaut largement prix vue milliers dheures travail dessus jai pris coffret collector soutenir maison offre jeu ultra complet moindres détailsbref lai tout fini comme tout monde fait faut exagéré cest impossibleles vraies fan vont être ravi cest tout peux dire car prends pseudo testeur jeu comme voit partout,0.8553
1338,Horizon : Forbidden West,PlayStation 5,"c'est simple il fait tout en mieux par rapport a son prédécesseur, en plus de se targuer d'être le plus beau open world jamais créer! ajouter à ça une durée de vie hallucinante (en 6h de jeux j'avais progresser d'1% seulement lol) et vous obtenez la note parfaite (le 1er avait un 18) bref un chef d'œuvre instantané",riri5922,20,cest simple fait tout mieux rapport prédécesseur plus targuer dêtre plus beau open world jamais créer ajouter durée vie hallucinante jeux javais progresser seulement lol obtenez note parfaite 1er bref chef dœuvre instantané,0.6671
1341,Horizon : Forbidden West,PlayStation 5,"Je poste mon avis sur le jeu afin de contrer cette vague de note négative et abusive. J'ai fini le 1 sur ps4 sur lequel j'avais pris beaucoup de plaisir. La suite est pour moi parfaitement réussie, j'ai très vite retrouvé mes réflexes et je prend un pied énorme à désosser pièces par pièces les machines avec mon arc.  J'ai choisi le mode qualité pour jouer même si le mode performance est effectivement plus fluide mais cela ne me gêne pas personnellement. Niveau scénario je ne suis qu'à 8h de jeu et j'ai avancé le minimum dans la trame principale donc je ne peux pas encore juger. Néanmoins les quêtes secondaires, pour celles que j'ai réalisées, ne sont pas du tout fedex, bien au contraire. Très bon jeu pour moi, il me tarde de pouvoir rallumer ma ps5 pour retourner jouer, ce qui ne m’était pas arrivé depuis longtemps sur un jeu. A voir sur le long terme mais pour l'instant mon verdict est sans appel. Vous pouvez y aller les yeux fermé, c'est un vrai kif.",migda77,20,poste avis jeu afin contrer cette vague note négative abusive jai fini ps4 lequel javais pris beaucoup plaisir suite parfaitement réussie jai très vite retrouvé réflexes prend pied énorme désosser pièces pièces machine arc jai choisi mode qualité jouer mode performance effectivement plus fluide cela gêne personnellement niveau scénario quà jeu jai avancé minimum trame principale donc peux encore juger néanmoins quêtes secondaires celles jai réalisées tout fedex bien contraire très bon jeu tarde pouvoir rallumer ps5 retourner jouer métait arrivé depuis longtemps jeu voir long terme linstant verdict sans appel pouvez aller yeux fermé cest vrai kif,0.9597
1343,Horizon : Forbidden West,PlayStation 5,Très proche de l excellence mais il faut revoir le combat au corps à corps car il est inutile casiment en tt cas en difficile. Les graphisme sur ps5 sont juste incroyable mais pour moi le eux n aurai pas du sortir sur ps4,TheTHIB1,19,très proche excellence faut revoir combat corp corp car inutile casiment difficile graphisme ps5 juste incroyable sortir ps4,-0.0571
1347,Horizon : Forbidden West,PlayStation 5,"Jeu très bien, tout ce qui était dans le 1er a été amélioré.
Je mets donc la note de 20 pour faire remonter la note que pas mal de cons rabaissent a 0...
Pour moi ca vaut un bon 17/20",ciboulot69,20,jeu très bien tout 1er amélioré mets donc note faire remonter note mal con rabaissent vaut bon 1720,0.54
1348,Horizon : Forbidden West,PlayStation 5,"Bon la mettre en dessous de 15/20 c’est qu’on a absolument pas joué au jeu
Je parle uniquement pour la version ps5
Ps4 je ne sais pas
C’est tout bonnement magnifique
C’est fluide, la musique est magnifique, le gameplay est aux petits oignons
Le seul défaut serait peut être de ne pas avoir du 60fps et du ray-tracing en même temps
Bref , laissez tomber les commentaires et notes négatives
Impossible de dire que le jeu est mauvais si on a joué",yvic33,20,bon mettre dessous 1520 cest quon absolument joué jeu parle uniquement version ps5 ps4 sais cest tout bonnement magnifique cest fluide musique magnifique gameplay petits oignons seul défaut peut être avoir 60fps raytracing temp bref laissez tomber commentaires note négatives impossible dire jeu mauvais joué,0.6989
1350,Horizon : Forbidden West,PlayStation 5,"Certains se plaignent que le jeu est le même que le un mais c'est pratiquement toujours comme ça avec les suite on reprend la même recette et on améliore les graphismes on rajoute deux trois trucs, nouvelle histoire et voilà mais il n'y a rien de nouveau à ça, c'est une suite. si vous avez aimé le 1, il n'y a aucune raison que vous n'aimiez pas le 2.
Ce qui me bluff le plus c'est les détails sur les pnj même ceux qui servent a rien les visages, les poils pas exemple c'est hallucinant, bon après on peut regretté d'avoir passé du temps la dessus plutot que d'autres choses mais bon certains trouverons toujours des choses à dire, en tout cas le jeu ne vaut pas de note en dessous de la moyenne.",Chop51,20,certains plaignent jeu cest pratiquement toujours comme suite reprend recette améliore graphismes rajoute deux trois trucs nouvelle histoire voilà rien nouveau cest suite aimé aucune raison naimiez bluff plus cest détails pnj ceux servent rien visage poils exemple cest hallucinant bon après peut regretté davoir passé temp dessus plutot dautres choses bon certains trouverons toujours choses dire tout jeu vaut note dessous moyenne,0.8461
1353,Horizon : Forbidden West,PlayStation 5,"Réalisation, scénario, ost, direction artistique, ces éléments sont mémorables. Jamais un open world n’aura été aussi criant de vie et de beauté. Un vrai appel à l’aventure qui nous fait incarner une Aloy plus charismatique que jamais.
On regrettera quelques bugs mais le sentiment d’émerveillement que produit le soft fait rapidement oublier ses défauts. Selon moi, la franchise Horizon est pour le jeu vidéo, ce qu’est avatar au cinéma.",xSHADOWMARSHALx,20,réalisation scénario ost direction artistique éléments mémorables jamais open world naura aussi criant vie beauté vrai appel laventure fait incarner aloy plus charismatique jamais regrettera quelques bug sentiment démerveillement produit soft fait rapidement oublier défauts selon franchise horizon jeu vidéo quest avatar cinéma,0.6808
1354,Horizon : Forbidden West,PlayStation 5,"incroyable et attachant. Il n'y a aucun bugs. Les cinématiques se sont vachement améliorées et l'histoire nous tient en haleine. Bref, ce jeu est une masterclasse. Le premier était déjà incroyables mais alors là on atteint les sommets. C'est un des meilleurs jeux en monde ouvert. Il surclasse BOTW. Par contre, on en parle de tout les rageux dans les notes c'est fou comme les gens sont frustrés.",Le-SPECIALISTE,20,incroyable attachant aucun bug cinématiques vachement améliorées lhistoire tient haleine bref jeu masterclasse premier déjà incroyables alors atteint sommets cest meilleurs jeux monde ouvert surclasse botw contre parle tout rageux note cest fou comme gen frustrés,0.7645
1359,Horizon : Forbidden West,PlayStation 5,"HFW est un jeu phénoménal avec un univers, un système de combat, des ennemis et une histoire vraiment uniques. Il est absolument ridicule qu'il n'ait pas reçu un meilleur accueil que les autres jeux sortis autour de cette période, ou même sa préquelle, étant donné qu'il est grandement amélioré et plus impressionnant à presque tous les égards. Est-ce un jeu parfait, non, mais aucun jeu ne l'est. Mais ce jeu est tout aussi impressionnant que d'autres chefs-d'œuvre triple A sortis au cours des 10 dernières années, tels que Witcher 3, God of War, RDR2 et The Last of Us.Ce jeu n'a pas reçu l'accueil qu'il mérite, en grande partie, à mon avis, en raison du fait qu'il s'agit d'une console exclusive avec une note d'adolescent et une jeune protagoniste féminine qui contraste avec les protagonistes masculins plus âgés, forts et silencieux, d'autres jeux très appréciés tels que ceux ci-dessus. Si vous êtes intéressé par ce jeu, essayez-le et ne croyez pas les critiques négatives à courte vue d'autres personnes qui pensent que ce jeu n'a rien à offrir, ou pire, l'accusent de ne pas être original ou unique.",JeanDeGien,20,hfw jeu phénoménal univers système combat ennemis histoire vraiment uniques absolument ridicule quil nait reçyou meilleur accueil autres jeux sortis autour cette période préquelle donné quil grandement amélioré plus impressionnant presque tous égards estce jeu parfait non aucun jeu lest jeu tout aussi impressionnant dautres chefsdœuvre triple sortis cours dernières années tels witcher god war rdr2 the last usce jeu reçyou laccueil quil mérite grande partie avis raison fait quil sagit dune console exclusive note dadolescent jeune protagoniste féminine contraste protagonistes masculins plus âgés fort silencieux dautres jeux très appréciés tels ceux cidessus intéressé jeu essayezle croyez critique négatives courte vue dautres personnes pensent jeu rien offrir pire laccusent être original unique,0.8701
1363,Horizon : Forbidden West,PlayStation 5,"Pleinement satisfait de ce 2ème opus. Tout a été amélioré par rapport au 1 qui fut déjà très bon.Points positifs :
- Une map plus grande, plus vivante, plus belle et avec beaucoup de variété dans les environnements.
- Les nouvelles machines, vraiment réussies ! SpoilAfficherMasquerEntre le Galop-griffe, le Carapateur, le Brisevague, le Carapeste, le Frappe-défense et le Massacrépine...  
- Plus de cinématiques et une histoire principale passionnante à suivre.
- Le personnage d'Alloy.
- Des personnages secondaires mieux développés (même si ce point aurait encore pu être amélioré).
- Des quêtes secondaires plus intéressantes que dans le 1er.
- La variété et l'intensité des combats.
- Des petits ajouts bienvenus comme l'Arène, les courses ou le jeu Attatkh.Points négatifs :
- Quelques bugs (notamment des écrans noirs).
- Une fin un peu brusque.
- L'exploration pas assez récompensé. J'aurais aimé avoir plus de choses à visiter et à découvrir en rapport avec l'ancien monde par exemple.Bref, c'était un régal de faire ce jeu. Vivement la suite.",Neiyuu,19,pleinement satisfait 2ème opus tout amélioré rapport déjà très bonpoints positifs map plus grande plus vivante plus belle beaucoup variété environnements nouvelles machine vraiment réussies spoilaffichermasquerentre galopgriffe carapateur brisevague carapeste frappedéfense massacrépine plus cinématiques histoire principale passionnante suivre personnage dalloy personnages secondaires mieux développés point encore être amélioré quêtes secondaires plus intéressantes 1er variété lintensité combat petits ajouts bienvenus comme larène course jeu attatkhpoints négatifs quelques bug notamment écrans noirs fin peu brusque lexploration assez récompensé jaurais aimé avoir plus choses visiter découvrir rapport lancien monde exemplebref cétait régal faire jeu vivement suite,0.9385
1364,Horizon : Forbidden West,PlayStation 5,"Franchement les gars, allez vous acheter une vie ou retournez sur Elden Ring. Aucune crédibilité, sans compter ceux qui n'y ont même pas joué... Ce jeu est une vraie pépite, on a le droit de ne pas aimer le genre mais sérieusement ça sert à quoi de coller une note de m*rde en disant ""c'est nul"", surtout ceux qui se sont contentés de vaguement regarder un let's play entre deux frites. Libérer une frustration en bouillant la joie des autres. Y a des psys pour ça... Mettre ce genre d'œuvre dans les mains de n'importe qui c'est donner de la confiture aux cochons. Je n'aime ni GTA et j'ai été déçu par Elden Ring, et alors je ne vais pas aller sur tous les forums pour déverser une haine que je n'ai pas. Tant mieux si d'autres aiment, c'est super pour les devs ! HFW est au-dessus de Zero Dawn, l'héroïne est un personnage formidable et le monde est âpre et beau, même si apocalyptique. Comment vont-ils faire pour se dépasser dans le 3 ? 😕",Otterproof,19,franchement gar allez acheter vie retournez elden ring aucune crédibilité sans compter ceux joué jeu vraie pépite droit aimer genre sérieusement sert quoi coller note mrde disant cest nul surtout ceux contentés vaguement regarder let play entre deux frites libérer frustration bouillant joie autres psys mettre genre dœuvre main nimporte cest donner confiture cochons naime gta jai déçyou elden ring alors vais aller tous forum déverser haine nai tant mieux dautres aiment cest super devs hfw audessus zero dawn lhéroïne personnage formidable monde âpre beau apocalyptique comment vontils faire dépasser,0.8527
1365,Horizon : Forbidden West,PlayStation 5,"Mon 1er Horizon, ce jeu est top ! Très beau monde à explorer, bonne maniabilité lors des combats, scénario de science-fiction bien réfléchi... De quoi passer quelques belles soirées dans cet univers",jeff7771555,19,1er horizon jeu top très beau monde explorer bonne maniabilité lors combat scénario sciencefiction bien réfléchi quoi passer quelques belle soirées cet univers,0.7841
1368,Horizon : Forbidden West,PlayStation 5,"Excellent jeu, graphisme au top, gameplay excellent et nerveu, bande son envoutante, scenario captivant etc etc
La note de 2/20 en top… ah les pro M",Don_Mattriste,20,excellent jeu graphisme top gameplay excellent nerveu bande envoutante scenario captivant etc etc note 220 top pro,0.8588
